ons_id,constituency_name,region_name,country_name,constituency_type,time_recorded,result,party_abbreviation,party_name,title,firstname,surname,middlenames,mnis_id,gender,defeated_mp,former_mp
E14001239,Folkestone and Hythe,South East,England,County,05-07-2024 02:24,Lab gain from Con,Con,Conservative,,Damian,Collins,Noel Thomas,3986,Male,Yes,Yes
E14001240,Forest of Dean,South West,England,County,05-07-2024 05:37,Lab gain from Con,Con,Conservative,,Mark,Harper,James,1520,Male,Yes,Yes
E14001245,Gedling,East Midlands,England,County,05-07-2024 03:16,Lab gain from Con,Con,Conservative,,Tom,Randall,,4845,Male,Yes,Yes
E14001246,Gillingham and Rainham,South East,England,Borough,05-07-2024 04:48,Lab gain from Con,Con,Conservative,,Rehman,Chishti,,3987,Male,Yes,Yes
S14000084,Glasgow East,Scotland,Scotland,Borough,05-07-2024 04:43,Lab gain from SNP,SNP,Scottish National Party,,David,Linden,,4640,Male,Yes,Yes
S14000085,Glasgow North,Scotland,Scotland,Borough,05-07-2024 04:44,Lab gain from SNP,SNP,Scottish National Party,,Alison,Thewliss,Emily,4430,Female,Yes,Yes
S14000086,Glasgow North East,Scotland,Scotland,Borough,05-07-2024 04:45,Lab gain from SNP,SNP,Scottish National Party,,Anne,McLaughlin,,4437,Female,Yes,Yes
S14000087,Glasgow South,Scotland,Scotland,Borough,05-07-2024 04:46,Lab gain from SNP,SNP,Scottish National Party,,Stewart,McDonald,,4461,Male,Yes,Yes
S14000088,Glasgow South West,Scotland,Scotland,Borough,05-07-2024 04:47,Lab gain from SNP,SNP,Scottish National Party,,Chris,Stephens,,4463,Male,Yes,Yes
S14000089,Glasgow West,Scotland,Scotland,Borough,05-07-2024 04:48,Lab gain from SNP,SNP,Scottish National Party,,Carol,Monaghan,,4443,Female,Yes,Yes
E14001248,Gloucester,South West,England,Borough,05-07-2024 06:29,Lab gain from Con,Con,Conservative,,Richard,Graham,Michael John Ogilvie,3990,Male,Yes,Yes
S14000091,Gordon and Buchan,Scotland,Scotland,County,05-07-2024 05:20,Con hold,SNP,Scottish National Party,,Richard,Thomson,Gordon,4796,Male,Yes,Yes
E14001254,Gravesham,South East,England,County,05-07-2024 04:54,Lab gain from Con,Con,Conservative,,Adam,Holloway,James Harold,1522,Male,Yes,Yes
E14001255,Great Grimsby and Cleethorpes,Yorkshire and The Humber,England,Borough,05-07-2024 03:31,Lab gain from Con,Con,Conservative,,Lia,Nici,,4851,Female,Yes,Yes
E14001258,Guildford,South East,England,County,05-07-2024 05:04,LD gain from Con,Con,Conservative,,Angela,Richardson,Joy,4840,Female,Yes,Yes
E14001261,Halesowen,West Midlands,England,Borough,05-07-2024 05:06,Lab gain from Con,Con,Conservative,,James,Morris,George,3992,Male,Yes,Yes
E14001269,Harrogate and Knaresborough,Yorkshire and The Humber,England,County,05-07-2024 00:47,LD gain from Con,Con,Conservative,,Andrew,Jones,Hanson,3996,Male,Yes,Yes
E14001272,Hartlepool,North East,England,County,05-07-2024 02:02,Lab hold,Con,Conservative,,Jill,Mortimer,,4916,Female,Yes,Yes
E14001274,Hastings and Rye,South East,England,County,05-07-2024 04:49,Lab gain from Con,Con,Conservative,,Sally-Ann,Hart,,4842,Female,Yes,Yes
E14001283,Hertford and Stortford,East of England,England,County,05-07-2024 04:02,Lab gain from Con,Con,Conservative,,Julie,Marson,,4768,Female,Yes,Yes
E14001285,Hexham,North East,England,County,05-07-2024 03:23,Lab gain from Con,Con,Conservative,,Guy,Opperman,,4142,Male,Yes,Yes
E14001287,High Peak,East Midlands,England,County,05-07-2024 02:47,Lab gain from Con,Con,Conservative,,Robert,Largan,,4852,Male,Yes,Yes
E14001289,Hitchin,East of England,England,County,05-07-2024 04:52,Lab gain from Con,Con,Conservative,,Bim,Afolami,,4639,Male,Yes,Yes
E14001291,Honiton and Sidmouth,South West,England,County,05-07-2024 05:44,LD gain from Con,Con,Conservative,,Simon,Jupp,James,4862,Male,Yes,Yes
E14001294,Horsham,South East,England,County,05-07-2024 05:27,LD gain from Con,Con,Conservative,Sir,Jeremy,Quin,Mark,4507,Male,Yes,Yes
E14001299,Hyndburn,North West,England,County,05-07-2024 02:58,Lab gain from Con,Con,Conservative,,Sara,Britcliffe,Alice,4838,Female,Yes,Yes
S14000093,Inverclyde and Renfrewshire West,Scotland,Scotland,County,05-07-2024 04:50,Lab gain from SNP,SNP,Scottish National Party,,Ronnie,Cowan,,4465,Male,Yes,Yes
E14001302,Ipswich,East of England,England,Borough,05-07-2024 03:27,Lab gain from Con,Con,Conservative,,Thomas,Hunt,Patrick,4771,Male,Yes,Yes
E14001304,Isle of Wight West,South East,England,County,05-07-2024 04:59,Lab gain from Con,Con,Conservative,,Bob,Seely,William Henry,4681,Male,Yes,Yes
E14001310,Kensington and Bayswater,London,England,Borough,05-07-2024 04:28,Lab hold,Con,Conservative,,Felicity,Buchan,,4821,Female,Yes,Yes
E14001311,Kettering,East Midlands,England,County,05-07-2024 05:42,Lab gain from Con,Con,Conservative,,Philip,Hollobone,Thomas,1537,Male,Yes,Yes
